Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-0.22311,0.002513,-0.021108,0,0,0,86.1,2.53797,-0.010418,0.005338,4.222258,0.000861,5.720484,0,0,0,0,0,0,package://WH00003.SLDASM/meshes/base.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WH00003.SLDASM/meshes/base.STL,,base-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
waist_pitch1_link,0.002729,0.002906,0.20961,0,0,0,5,0.133655,1E-05,0.004875,0.116165,-0.000765,0.040975,0,0,0,0,0,0,package://WH00003.SLDASM/meshes/waist_pitch1_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WH00003.SLDASM/meshes/waist_pitch1_link.STL,,waist_pitch1-1,waist_pitch1_link,waist_pitch1_joint,waist_pitch1_joint,revolute,0,0.0048067,0.088251,0,0,0,base,0,1,0,0,0,-1.3265,0,,,,,,,,
waist_pitch2_link,9E-06,-0.007058,0.18252,0,0,0,12,0.32496,-1.2E-05,2.4E-05,0.33588,-1.2E-05,0.032928,0,0,0,0,0,0,package://WH00003.SLDASM/meshes/waist_pitch2_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WH00003.SLDASM/meshes/waist_pitch2_link.STL,,waist_pitch2-1,waist_pitch2_link,waist_pitch2_joint,waist_pitch2_joint,revolute,0,0,0.365,0,0,0,waist_pitch1_link,0,1,0,0,0,0,2.3736,,,,,,,,
waist_pitch3_link,0,0.002265,0.073055,0,0,0,6.5,0.57278,0,0,0.46269,-0.007716,0.322933,0,0,0,0,0,0,package://WH00003.SLDASM/meshes/waist_pitch3_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WH00003.SLDASM/meshes/waist_pitch3_link.STL,,waist_pitch3-1,waist_pitch3_link,waist_pitch3_joint,waist_pitch3_joint,revolute,0,0,0.365,0,0,0,waist_pitch2_link,0,1,0,0,0,-1.6581,1.6581,,,,,,,,
waist_yaw_link,-0.011579,0,-0.049379,0,0,0,10.42,0.153393,0,0.002584,0.110806,0,0.122675,0,0,0,0,0,0,package://WH00003.SLDASM/meshes/waist_yaw_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WH00003.SLDASM/meshes/waist_yaw_link.STL,,waist_yaw-1,waist_yaw_link,waist_yaw_joint,waist_yaw_joint,revolute,0,0,0.411,0,0,0,waist_pitch3_link,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
left_shoulder_pitch_link,-0.004303,0.020182,0.002701,0,0,0,0.2865,0.000347,6.8E-05,-8E-06,0.000481,1.3E-05,0.000521,0,0,0,0,0,0,package://WH00003.SLDASM/meshes/left_shoulder_pitch_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WH00003.SLDASM/meshes/left_shoulder_pitch_link.STL,,left_shoulder_pitch-1,left_shoulder_pitch_link,left_shoulder_pitch_joint,left_shoulder_pitch_joint,revolute,0,0.2015,0,0,0,0,waist_yaw_link,0,1,0,0,0,-2.3562,2.3562,,,,,,,,
left_shoulder_roll_link,-0.000341,0.000486,-0.012205,0,0,0,2.2119,0.003563,0,5.8E-05,0.003701,7.1E-05,0.0024,0,0,0,0,0,0,package://WH00003.SLDASM/meshes/left_shoulder_roll_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WH00003.SLDASM/meshes/left_shoulder_roll_link.STL,,left_shoulder_roll-1,left_shoulder_roll_link,left_shoulder_roll_joint,left_shoulder_roll_joint,revolute,0,0.0565,0,0,0,0,left_shoulder_pitch_link,1,0,0,0,0,-0.24435,2.8972,,,,,,,,
left_shoulder_yaw_link,0.000815,-0.000629,-0.080506,0,0,0,2.5816,0.008142,7.2E-05,0.000292,0.008029,-0.000289,0.003462,0,0,0,0,0,0,package://WH00003.SLDASM/meshes/left_shoulder_yaw_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WH00003.SLDASM/meshes/left_shoulder_yaw_link.STL,,left_shoulder_yaw-1,left_shoulder_yaw_link,left_shoulder_yaw_joint,left_shoulder_yaw_joint,revolute,0,0,-0.0755,0,0,0,left_shoulder_roll_link,0,0,1,0,0,-2.0944,2.0944,,,,,,,,
left_elbow_pitch_link,0.011064,0.000878,-0.009088,0,0,0,1.5621,0.001614,-1.6E-05,0.000433,0.002162,6E-06,0.001743,0,0,0,0,0,0,package://WH00003.SLDASM/meshes/left_elbow_pitch_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WH00003.SLDASM/meshes/left_elbow_pitch_link.STL,,left_elbow_pitch-1,left_elbow_pitch_link,left_elbow_pitch_joint,left_elbow_pitch_joint,revolute,0.031,0.0001,-0.2005,0,0,0,left_shoulder_yaw_link,0,1,0,0,0,-1.0821,1.5708,,,,,,,,
left_wrist_roll_link,0.095727,0,-0.000767,0,0,0,1.1706,0.000842,0,-3.2E-05,0.003306,0,0.003156,0,0,0,0,0,0,package://WH00003.SLDASM/meshes/left_wrist_roll_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WH00003.SLDASM/meshes/left_wrist_roll_link.STL,,left_wrist_roll-1,left_wrist_roll_link,left_wrist_roll_joint,left_wrist_roll_joint,revolute,0.058,0,-0.030788,0,0,0,left_elbow_pitch_link,1,0,0,0,0,-3.1416,3.1416,,,,,,,,
